Sentences,Label_Task,Estimated_hours
Mengumpulkan User Req untuk aplikasi baru,Analisis Kebutuhan,20
Menganalisis BP untuk mengidentifikasi kebutuhan,Analisis Kebutuhan,20
Melakukan Interview dengan stakeholder untuk kebutuhan,Analisis Kebutuhan,20
Menyusun dokumen Req Spec,Analisis Kebutuhan,20
Meninjau kebutuhan bersama Dev Team,Analisis Kebutuhan,20
Melakukan analisis SWOT untuk kebutuhan proyek,Analisis Kebutuhan,20
Mengumpulkan informasi melalui survey,Analisis Kebutuhan,20
Menilai Func & Non-Func Req,Analisis Kebutuhan,20
Mengidentifikasi Security & Privacy Req,Analisis Kebutuhan,20
Membuat BM untuk mendukung analisis,Analisis Kebutuhan,20
Melakukan GA untuk mengevaluasi kebutuhan,Analisis Kebutuhan,20
Menyusun CM Plan untuk kebutuhan,Analisis Kebutuhan,20
Bekerja sama dengan tim UX untuk kebutuhan,Analisis Kebutuhan,20
Mengadakan BS untuk mengumpulkan kebutuhan,Analisis Kebutuhan,20
Menggunakan PT untuk kebutuhan pengguna,Analisis Kebutuhan,20
Melakukan FS untuk menilai kebutuhan bisnis,Analisis Kebutuhan,20
Membuat PR dari kebutuhan,Analisis Kebutuhan,20
Menetapkan prioritas kebutuhan,Analisis Kebutuhan,20
Melakukan DA untuk pola kebutuhan,Analisis Kebutuhan,20
Membuat UC & US untuk kebutuhan,Analisis Kebutuhan,20
Memvalidasi kebutuhan dengan stakeholder,Analisis Kebutuhan,20
Menulis RAR yang lengkap,Analisis Kebutuhan,20
Mengadakan WS untuk kebutuhan tambahan,Analisis Kebutuhan,20
Melakukan RCA untuk memahami kebutuhan,Analisis Kebutuhan,20
Mengidentifikasi TN untuk pengguna baru,Analisis Kebutuhan,20
Mengelola CT untuk kebutuhan,Analisis Kebutuhan,20
Menggunakan EM untuk memahami kebutuhan,Analisis Kebutuhan,20
Melakukan BM dengan sistem lain,Analisis Kebutuhan,20
Membuat WF & MU untuk mendukung analisis,Analisis Kebutuhan,20
Melakukan CBA untuk mengevaluasi kebutuhan,Analisis Kebutuhan,20
Mengadakan FG untuk masukan kebutuhan,Analisis Kebutuhan,20
